comparison_key,data_mode,banner,market,year,period,month,product_group,mpg,product_id,product,promo_id,promo_status,promotion_type,execution_start,execution_end,source_fcst_inc_cases,unit_type,cases_per_display,converted_fcst_inc_cases,mode_fcst_inc_cases,prorate_weight,execution_days_in_month,execution_days_total,month_cases,source_workbook,source_sheet,source_row,conversion_note
mom,blended,SDM,CG-SDM,2026,July,Jan,Single Serve,SS KComp 6/12ct,TDSSKC-6/12,SS KCOMP 6/12CT,000IORV6P,Committed,TPR/ISF,2026-01-03,2026-01-09,300.0,CASE,,300.0,300.0,1.0,7,7,300.0,DR August - MoM.xlsx,July,11,Reported as regular cases
mom,separate,SDM,CG-SDM,2026,July,Jan,Single Serve,SS KComp 6/12ct,TDSSKC-6/12,SS KCOMP 6/12CT,000IORV6P,Committed,TPR/ISF,2026-01-03,2026-01-09,300.0,CASE,,300.0,300.0,1.0,7,7,300.0,DR August - MoM.xlsx,July,11,Reported as regular cases
mom,blended,SDM,CG-SDM,2026,July,Jan,Single Serve,SS KComp 6/10ct,TDSSKC-6/10,SS KCOMP 6/10CT,000IORV6P,Committed,TPR/ISF,2026-01-03,2026-01-09,40.0,CASE,,40.0,40.0,1.0,7,7,40.0,DR August - MoM.xlsx,July,12,Reported as regular cases
mom,separate,SDM,CG-SDM,2026,July,Jan,Single Serve,SS KComp 6/10ct,TDSSKC-6/10,SS KCOMP 6/10CT,000IORV6P,Committed,TPR/ISF,2026-01-03,2026-01-09,40.0,CASE,,40.0,40.0,1.0,7,7,40.0,DR August - MoM.xlsx,July,12,Reported as regular cases
mom,blended,SDM,CG-SDM,2026,July,Jan,Instant,Instant Coffee 12/100g,TDIC-12/100,INSTANT COFFEE 12/100GR,000IORV7H,Committed,TPR/ISF,2026-01-03,2026-01-09,600.0,CASE,,600.0,600.0,1.0,7,7,600.0,DR August - MoM.xlsx,July,14,Reported as regular cases
mom,separate,SDM,CG-SDM,2026,July,Jan,Instant,Instant Coffee 12/100g,TDIC-12/100,INSTANT COFFEE 12/100GR,000IORV7H,Committed,TPR/ISF,2026-01-03,2026-01-09,600.0,CASE,,600.0,600.0,1.0,7,7,600.0,DR August - MoM.xlsx,July,14,Reported as regular cases
mom,blended,SDM,CG-SDM,2026,July,Jan,Condensed Soup,Soups 24/284ml,TDSHSP-24/284,SOUPS 24/284ML,000J0SSD1,Committed,TPR/ISF,2026-01-03,2026-01-09,711.0,CASE,,711.0,711.0,1.0,7,7,711.0,DR August - MoM.xlsx,July,16,Reported as regular cases
mom,separate,SDM,CG-SDM,2026,July,Jan,Condensed Soup,Soups 24/284ml,TDSHSP-24/284,SOUPS 24/284ML,000J0SSD1,Committed,TPR/ISF,2026-01-03,2026-01-09,711.0,CASE,,711.0,711.0,1.0,7,7,711.0,DR August - MoM.xlsx,July,16,Reported as regular cases
mom,blended,SDM,CG-SDM,2026,July,Jan,Roast & Ground,R&G Small Bag 6/300g,TDRGSB-6/300,R&G SMALL BAG 6/300GR,000IORV7C,Committed,TPR/ISF,2026-01-10,2026-01-16,380.0,CASE,,380.0,380.0,1.0,7,7,380.0,DR August - MoM.xlsx,July,18,Reported as regular cases
mom,separate,SDM,CG-SDM,2026,July,Jan,Roast & Ground,R&G Small Bag 6/300g,TDRGSB-6/300,R&G SMALL BAG 6/300GR,000IORV7C,Committed,TPR/ISF,2026-01-10,2026-01-16,380.0,CASE,,380.0,380.0,1.0,7,7,380.0,DR August - MoM.xlsx,July,18,Reported as regular cases
mom,blended,SDM,CG-SDM,2026,July,Jan,Single Serve,SS KComp 4/30ct,TDSSKC-4/30,SS KCOMP 4/30CT,000IORV7N,Committed,TPR/ISF,2026-01-10,2026-01-16,231.0,CASE,,231.0,231.0,1.0,7,7,231.0,DR August - MoM.xlsx,July,20,Reported as regular cases
